Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out	Normalize_type
TCONS_00001380	1.842579437	0	30.37870623	0	1.538498327	0	1.436181577	0	6.413141444	0	10.53167295	0	10.92598031	0	7.692985511	0	Counts
TCONS_00001422	3978.129004	16.65426208	1046.066766	7.953801656	3865.477046	8.935881486	2295.01816	12.14259554	3946.00593	18.08273172	912.5384853	11.04438758	2105.500676	0	3387.477953	14.71751027	Counts
TCONS_00001436	0.921289718	0	2.398318913	0	0	0	2.154272365	0	1.282628289	1.390979363	0	0	0.642704724	0	2.564328504	0	Counts
TCONS_00001451	0.921289718	1.281097083	0	0	0	0	0	0	0.641314144	0	3.097550867	0	1.285409448	0	0	0	Counts
TCONS_00001455	17.50450465	0	22.78402967	0	21.53897658	0	23.69699602	0	17.3154819	0	17.96579503	0	17.99573227	0	20.51462803	0	Counts
TCONS_00001461	7.370317747	0	4.396918006	0	4.61549498	0	2.872363153	0	2.565256578	0	6.195101733	0	8.355161411	0	3.077194204	0	Counts
TCONS_00001462	1.842579437	0	2.798038731	1.446145756	0	0	0.718090788	3.035648886	1.282628289	2.781958727	0	0	0	0	1.025731401	0	Counts
TCONS_00001463	141.8786166	0	32.37730532	0	123.8491153	0	93.35180248	0	89.78398021	0	102.2191786	2.761096895	152.9637243	0	144.1152619	0	Counts
TCONS_00001631	34.08771958	2.562194166	34.77562423	0.723072878	31.5392157	0	25.85126838	4.553473328	29.50045064	0	27.25844763	2.761096895	23.78007479	0	31.28480774	1.471751027	Counts
TCONS_00001632	0	0	1.199159456	0.723072878	3.076996654	0	1.436181577	3.035648886	0	0	4.336571213	2.761096895	2.570818896	0	2.051462803	0	Counts
TCONS_00001677	0.921289718	0	0.799439638	0	1.538498327	0	3.590453942	0	0.641314144	0	3.097550867	0	0	0	0	0	Counts
TCONS_00001713	28.55998127	0	35.57506387	1.446145756	26.92372072	0	20.82463286	0	9.619712166	0	71.86318011	0	29.5644173	0	29.23334494	0	Counts
TCONS_00001753	2.763869155	3.843291249	15.58907293	0.723072878	6.153993307	1.489313581	4.30854473	1.517824443	7.695769733	0	6.814611907	0	8.997866135	3.021955641	9.231582613	0	Counts
TCONS_00001768	0.921289718	0	3.19775855	0	0.769249163	0	0	0	1.282628289	0	0.619510173	0	0.642704724	0	0	0	Counts
TCONS_00001771	0	0	0	0	0	0	8.61708946	3.035648886	0	0	0	0	0	0	0	0	Counts
TCONS_00001789	4.606448592	0	9.992995469	0	4.61549498	0	8.61708946	0	5.771827299	0	9.912162773	0	3.21352362	0	6.154388409	0	Counts
TCONS_00001794	0.921289718	0	0.399719819	0	0.769249163	0	0.718090788	0	1.282628289	0	0.619510173	0	1.928114172	0	0.512865701	0	Counts
TCONS_00001801	1.842579437	0	1.199159456	0	0.769249163	0	7.180907883	0	1.282628289	0	4.336571213	0	0.642704724	0	5.641522708	0	Counts
TCONS_00001842	0	0	0	0	5.384744144	0	0.718090788	0	0.641314144	0	0.619510173	0	1.928114172	0	1.538597102	0	Counts
TCONS_00001843	0.921289718	1.281097083	0	0	0.769249163	2.978627162	1.436181577	1.517824443	1.282628289	1.390979363	0	0	3.21352362	0	1.538597102	0	Counts
TCONS_00001857	0	0	5.995797282	6.507655901	0	0	0.718090788	0	0	0	1.85853052	0	1.285409448	0	0	4.415253081	Counts
TCONS_00001891	1.842579437	0	4.796637825	0	3.846245817	0	2.154272365	0	1.282628289	0	2.478040693	0	3.21352362	0	3.077194204	0	Counts
TCONS_00001892	7.370317747	0	11.19215493	0	4.61549498	0	1.436181577	0	7.054455588	0	3.097550867	0	10.28327558	0	6.154388409	0	Counts
TCONS_00001893	0.921289718	0	2.798038731	0	0	0	0	0	1.923942433	0	0	0	1.285409448	0	1.025731401	0	Counts
TCONS_00001897	5.52773831	0	2.798038731	0	0.769249163	0	2.154272365	0	2.565256578	0	0	0	5.784342515	0	3.590059905	1.471751027	Counts
TCONS_00001909	3.685158874	0	0	0	3.076996654	0	2.154272365	0	6.413141444	0	0	0	0.642704724	0	0.512865701	0	Counts
TCONS_00001915	1.842579437	0	0	0	4.61549498	0	0.718090788	0	0.641314144	0	0.619510173	0	4.498933068	0	1.538597102	0	Counts
TCONS_00001929	1.842579437	1.281097083	0	1.446145756	3.076996654	0	1.436181577	0	1.923942433	0	2.478040693	0	1.285409448	0	0	2.943502054	Counts
TCONS_00001930	0	2.562194166	1.199159456	0.723072878	0.769249163	0	2.154272365	0	0.641314144	1.390979363	1.85853052	4.141645342	2.570818896	9.065866923	2.564328504	4.415253081	Counts
TCONS_00001936	33.16642986	6.405485414	3.597478369	0.723072878	39.23170733	0	46.67590124	0	42.32673353	4.17293809	65.66807837	2.761096895	34.06335037	0	33.84913625	4.415253081	Counts
TCONS_00001972	0.921289718	0	0.799439638	0	0.769249163	0	0.718090788	0	0.641314144	0	1.239020347	0	1.928114172	0	0.512865701	0	Counts
TCONS_00001990	2.763869155	2.562194166	3.19775855	2.169218634	1.538498327	2.978627162	3.590453942	3.035648886	2.565256578	1.390979363	5.57559156	2.761096895	3.21352362	0	1.538597102	1.471751027	Counts
TCONS_00001991	4.606448592	0	5.196357644	0	3.076996654	5.957254324	7.180907883	6.071297771	5.771827299	0	9.912162773	5.522193789	6.427047239	0	3.590059905	7.358755136	Counts
TCONS_00002070	22.11095324	0	22.38430985	0	28.46221905	0	12.2075434	0	18.59811019	0	26.63893745	1.380548447	12.85409448	0	27.69474784	0	Counts
TCONS_00002116	1.842579437	2.562194166	5.596077463	22.41525921	0	2.978627162	0	4.553473328	1.923942433	20.86469045	3.097550867	2.761096895	1.285409448	18.13173385	4.102925606	7.358755136	Counts
TCONS_00002118	7.370317747	0	3.19775855	1.446145756	12.30798661	0	5.026635518	0	3.847884866	0	1.239020347	0	0	0	5.641522708	0	Counts
TCONS_00002141	15.66192521	0	6.3955171	0	10.76948829	0	19.38845129	0	9.619712166	1.390979363	11.77069329	0	9.640570859	0	9.744448314	0	Counts
TCONS_00002174	26.71740183	0	0.799439638	0	9.230989961	0	4.30854473	0	5.130513155	0	3.097550867	0	0	0	8.718716912	0	Counts
TCONS_00002194	0	0	1.998599094	0	0.769249163	0	0.718090788	0	2.565256578	0	2.478040693	0	0.642704724	0	0.512865701	0	Counts
TCONS_00002207	3.685158874	0	3.997198188	5.784583023	0	0	2.154272365	1.517824443	0.641314144	0	1.85853052	4.141645342	2.570818896	3.021955641	0	4.415253081	Counts
TCONS_00002210	4.606448592	0	3.997198188	0	11.53873745	0	6.462817095	0	8.337083877	0	1.239020347	0	4.498933068	0	5.641522708	0	Counts
TCONS_00002240	0.921289718	3.843291249	1.598879275	10.12302029	3.846245817	14.89313581	2.872363153	7.589122214	3.206570722	2.781958727	4.336571213	9.663839131	4.498933068	3.021955641	0.512865701	14.71751027	Counts
