Ids	Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out
TCONS_00022398	4.606448592	1.281097083	15.18935311	2.892291511	0	1.489313581	13.64372498	1.517824443	3.206570722	1.390979363	7.43412208	0	0	3.021955641	5.128657007	1.471751027
TCONS_00022456	5.52773831	0	10.39271529	0	10.76948829	0	0	0	3.847884866	0	1.85853052	1.380548447	11.56868503	0	8.205851211	0
TCONS_00022463	0	0	5.995797282	0	0	0	0	0	0	0	0	0	0	0	0	0
TCONS_00022466	0.921289718	0	0.799439638	0	4.61549498	0	1.436181577	0	1.923942433	0	6.814611907	0	1.285409448	0	1.025731401	0
TCONS_00022475	2.763869155	0	0	0	0	0	2.154272365	0	3.847884866	0	0.619510173	0	3.21352362	0	2.564328504	1.471751027
TCONS_00022510	0.921289718	0	0.799439638	0	1.538498327	0	4.30854473	0	0	0	1.239020347	0	1.285409448	0	0.512865701	0
TCONS_00022524	0	0	0.799439638	2.892291511	0.769249163	0	0.718090788	0	2.565256578	0	0	0	0	0	0	0
TCONS_00022526	12.89805606	0	0	0	3.846245817	0	15.79799734	0	1.923942433	0	0	0	3.21352362	0	6.154388409	0
TCONS_00022530	1.842579437	0	1.199159456	0	3.846245817	0	0.718090788	0	1.282628289	0	0.619510173	0	1.928114172	0	2.564328504	0
TCONS_00022540	0	0	1.199159456	0	1.538498327	0	0.718090788	0	0.641314144	0	1.239020347	1.380548447	0	0	1.025731401	1.471751027
TCONS_00022541	6.449028029	0	12.7910342	0	9.230989961	0	10.77136183	0	8.337083877	0	20.44383572	0	6.427047239	0	10.25731401	0
TCONS_00022542	5.52773831	0	2.398318913	0.723072878	1.538498327	0	2.872363153	0	2.565256578	0	2.478040693	1.380548447	1.928114172	0	2.564328504	0
TCONS_00022548	13.81934578	0	11.19215493	0	5.384744144	0	14.36181577	0	5.771827299	0	9.2926526	0	4.498933068	0	1.538597102	0
TCONS_00022550	148.3276447	2.562194166	69.55124847	2.892291511	120.7721187	4.467940743	79.70807751	0	91.70792265	0	142.4873399	0	141.3950393	0	128.2164252	4.415253081
TCONS_00022553	5.52773831	0	9.193555832	0	1.538498327	0	6.462817095	0	4.489199011	0	4.336571213	0	9.640570859	0	7.692985511	0
TCONS_00022557	3.685158874	0	13.99019366	0	8.461740797	0	4.30854473	0	7.695769733	0	5.57559156	1.380548447	4.498933068	0	5.128657007	1.471751027
TCONS_00022575	0	0	1.598879275	2.892291511	5.384744144	0	5.744726307	1.517824443	0.641314144	0	3.71706104	0	2.570818896	0	2.051462803	0
TCONS_00022634	11.05547662	8.96767958	7.594676557	10.84609317	6.923242471	4.467940743	7.180907883	7.589122214	7.695769733	2.781958727	8.053632253	6.902742236	7.069751963	9.065866923	7.18011981	5.887004109
TCONS_00022656	0.921289718	0	1.998599094	0	0	0	1.436181577	0	0	0	1.239020347	1.380548447	3.21352362	0	0	0
TCONS_00022657	1.842579437	2.562194166	6.3955171	44.83051843	0.769249163	5.957254324	0	1.517824443	0	5.563917454	0	8.283290684	1.928114172	3.021955641	0	0
TCONS_00022692	4.606448592	0	3.997198188	0	3.846245817	0	2.154272365	0	3.847884866	0	1.239020347	0	3.856228344	0	2.051462803	0
TCONS_00022693	2.763869155	0	3.597478369	0	1.538498327	0	1.436181577	0	1.282628289	0	5.57559156	0	3.856228344	0	1.538597102	0
TCONS_00022694	11.97676634	0	9.992995469	1.446145756	16.15423243	0	10.05327104	0	5.130513155	0	9.2926526	0	9.640570859	0	9.744448314	0
TCONS_00022722	27.63869155	10.24877666	21.98459003	7.230728779	37.69320901	4.467940743	29.44172232	0	45.53330425	2.781958727	19.20481537	5.522193789	39.84769288	0	46.15791306	8.830506163
TCONS_00022791	107.7908971	2.562194166	203.8571076	12.29223892	106.9256337	4.467940743	135.719159	10.6247711	203.9378979	6.954896817	174.0823587	8.283290684	133.0398779	3.021955641	133.8579479	4.415253081
TCONS_00022793	1.842579437	1.281097083	0.799439638	2.169218634	3.846245817	4.467940743	0.718090788	0	2.565256578	4.17293809	0	0	3.21352362	0	5.128657007	0
TCONS_00022799	0.921289718	0	3.19775855	0	3.076996654	1.489313581	0.718090788	0	0.641314144	2.781958727	0.619510173	2.761096895	1.285409448	0	0.512865701	0
TCONS_00022807	29.48127099	7.686582497	39.57226206	14.46145756	23.0774749	13.40382223	30.8779039	13.66041999	32.06570722	16.69175236	25.39991711	23.4693236	22.49466534	12.08782256	28.20761354	16.1892613
TCONS_00022809	0	0	3.997198188	0	1.538498327	10.42519507	0.718090788	0	0.641314144	0	0	0	0.642704724	0	0	1.471751027
TCONS_00022811	5.52773831	0	0.399719819	0	1.538498327	2.978627162	2.872363153	0	2.565256578	1.390979363	1.85853052	1.380548447	1.285409448	0	1.025731401	0
TCONS_00022849	15.66192521	0	19.1865513	0	13.07723578	0	20.82463286	0	10.26102631	0	37.1706104	0	23.13737006	0	15.89883672	0
TCONS_00022864	24.8748224	2.562194166	82.74200249	5.061510145	26.15447156	1.489313581	19.38845129	0	22.44599505	1.390979363	34.69256971	2.761096895	23.78007479	0	18.97603093	0
TCONS_00022914	5.52773831	5.124388331	0.799439638	0	6.923242471	10.42519507	6.462817095	0	5.771827299	1.390979363	0	1.380548447	0	0	5.641522708	0
TCONS_00022925	46.98577564	0	41.57086115	1.446145756	33.07771403	4.467940743	30.15981311	0	47.45724668	0	27.8779578	2.761096895	21.20925589	0	24.10468793	1.471751027
TCONS_00022964	29.48127099	1.281097083	7.194956738	0	21.53897658	0	20.10654207	0	14.10891118	0	4.956081387	0	11.56868503	0	19.48889663	0
TCONS_00022979	2.763869155	0	1.998599094	0	3.076996654	0	1.436181577	0	1.282628289	0	1.85853052	0	2.570818896	0	2.051462803	0
TCONS_00022980	1.842579437	0	1.199159456	0	0.769249163	0	2.154272365	0	0.641314144	0	1.85853052	0	0	0	0.512865701	0
TCONS_00023002	29.48127099	0	8.793836013	0	23.84672407	0	17.95226971	0	19.88073848	0	13.62922381	0	5.141637792	0	20.51462803	0
TCONS_00023003	7.370317747	0	2.398318913	0	7.692491634	0	3.590453942	0	3.206570722	0	2.478040693	0	7.712456687	0	13.33450822	1.471751027
TCONS_00023018	0.921289718	0	0.799439638	0	2.30774749	0	2.872363153	0	2.565256578	2.781958727	1.239020347	0	1.928114172	0	3.077194204	2.943502054
TCONS_00023019	243.2204857	0	135.9047384	2.169218634	293.0839313	0	206.810147	4.553473328	264.8627416	1.390979363	214.9700301	2.761096895	210.8071495	0	291.8205837	0
