LncRNAs	LncRNA1_id	Region	Organism
TCONS_00012930	pan_TCONS_00012930	ACC vs CB	Chimp
TCONS_00012931	pan_TCONS_00012931	ACC vs CB	Chimp
TCONS_00012974	pan_TCONS_00012974	ACC vs CB	Chimp
TCONS_00013020	pan_TCONS_00013020	ACC vs CB	Chimp
TCONS_00013022	pan_TCONS_00013022	ACC vs CB	Chimp
TCONS_00013023	pan_TCONS_00013023	ACC vs CB	Chimp
TCONS_00013087	pan_TCONS_00013087	ACC vs CB	Chimp
TCONS_00013090	pan_TCONS_00013090	ACC vs CB	Chimp
TCONS_00013212	pan_TCONS_00013212	ACC vs CB	Chimp
TCONS_00013224	pan_TCONS_00013224	ACC vs CB	Chimp
TCONS_00013272	pan_TCONS_00013272	ACC vs CB	Chimp
TCONS_00013330	pan_TCONS_00013330	ACC vs CB	Chimp
TCONS_00013346	pan_TCONS_00013346	ACC vs CB	Chimp
TCONS_00013372	pan_TCONS_00013372	ACC vs CB	Chimp
TCONS_00013380	pan_TCONS_00013380	ACC vs CB	Chimp
TCONS_00013437	pan_TCONS_00013437	ACC vs CB	Chimp
TCONS_00013453	pan_TCONS_00013453	ACC vs CB	Chimp
TCONS_00013454	pan_TCONS_00013454	ACC vs CB	Chimp
TCONS_00013464	pan_TCONS_00013464	ACC vs CB	Chimp
TCONS_00013488	pan_TCONS_00013488	ACC vs CB	Chimp
TCONS_00013546	pan_TCONS_00013546	ACC vs CB	Chimp
TCONS_00013628	pan_TCONS_00013628	ACC vs CB	Chimp
TCONS_00013677	pan_TCONS_00013677	ACC vs CB	Chimp
TCONS_00013692	pan_TCONS_00013692	ACC vs CB	Chimp
TCONS_00013762	pan_TCONS_00013762	ACC vs CB	Chimp
TCONS_00013895	pan_TCONS_00013895	ACC vs CB	Chimp
TCONS_00014166	pan_TCONS_00014166	ACC vs CB	Chimp
TCONS_00014218	pan_TCONS_00014218	ACC vs CB	Chimp
TCONS_00014275	pan_TCONS_00014275	ACC vs CB	Chimp
TCONS_00014284	pan_TCONS_00014284	ACC vs CB	Chimp
TCONS_00014302	pan_TCONS_00014302	ACC vs CB	Chimp
TCONS_00014305	pan_TCONS_00014305	ACC vs CB	Chimp
TCONS_00014313	pan_TCONS_00014313	ACC vs CB	Chimp
TCONS_00014612	pan_TCONS_00014612	ACC vs CB	Chimp
TCONS_00014678	pan_TCONS_00014678	ACC vs CB	Chimp
TCONS_00014941	pan_TCONS_00014941	ACC vs CB	Chimp
TCONS_00014998	pan_TCONS_00014998	ACC vs CB	Chimp
TCONS_00015100	pan_TCONS_00015100	ACC vs CB	Chimp
TCONS_00015101	pan_TCONS_00015101	ACC vs CB	Chimp
TCONS_00015121	pan_TCONS_00015121	ACC vs CB	Chimp
TCONS_00015126	pan_TCONS_00015126	ACC vs CB	Chimp
TCONS_00015182	pan_TCONS_00015182	ACC vs CB	Chimp
TCONS_00015198	pan_TCONS_00015198	ACC vs CB	Chimp
TCONS_00015243	pan_TCONS_00015243	ACC vs CB	Chimp
TCONS_00015355	pan_TCONS_00015355	ACC vs CB	Chimp
TCONS_00015382	pan_TCONS_00015382	ACC vs CB	Chimp
TCONS_00015471	pan_TCONS_00015471	ACC vs CB	Chimp
TCONS_00015478	pan_TCONS_00015478	ACC vs CB	Chimp
TCONS_00015545	pan_TCONS_00015545	ACC vs CB	Chimp
TCONS_00015565	pan_TCONS_00015565	ACC vs CB	Chimp
TCONS_00015641	pan_TCONS_00015641	ACC vs CB	Chimp
